#(id,from,to,speed,planTime)
(10575,89,33,3,7)
(10576,36,21,3,5)
(10577,87,46,3,8)
(10578,56,4,4,10)
(10579,52,99,8,10)
(10580,34,8,7,1)
(10581,7,66,3,1)
(10582,74,24,3,6)
(10583,23,81,8,5)
(10584,2,9,3,4)
(10585,55,1,1,10)
(10586,6,23,6,9)
(10587,89,82,1,9)
(10588,90,30,7,4)
(10589,96,34,3,6)
(10590,24,51,8,3)
(10591,98,8,7,2)
(10592,17,99,7,8)
(10593,0,97,1,9)
(10594,86,34,1,2)
(10595,82,43,8,6)
(10596,73,55,5,9)
(10597,55,94,6,1)
(10598,10,67,7,5)
(10599,75,65,3,4)
(10600,64,95,6,1)
(10601,57,77,1,10)
(10602,11,65,3,2)
(10603,7,45,6,5)
(10604,66,63,2,5)
(10605,56,83,5,9)
(10606,49,59,8,7)
(10607,23,12,3,6)
(10608,73,9,2,2)
(10609,87,17,2,7)
(10610,83,54,4,4)
(10611,65,85,8,10)
(10612,13,83,5,1)
(10613,65,83,8,5)
(10614,7,73,1,7)
(10615,85,51,1,8)
(10616,26,65,2,6)
(10617,83,91,7,1)
(10618,10,98,4,8)
(10619,48,22,2,3)
(10620,4,54,2,4)
(10621,36,30,5,1)
(10622,2,86,4,5)
(10623,36,88,1,2)
(10624,53,97,2,6)
(10625,53,83,8,4)
(10626,46,52,6,7)
(10627,41,42,1,5)
(10628,62,85,3,2)
(10629,81,97,4,3)
(10630,83,44,7,7)
(10631,32,45,5,3)
(10632,41,54,8,2)
(10633,2,84,7,7)
(10634,1,61,8,6)
(10635,69,96,7,5)
(10636,46,0,1,3)
(10637,64,32,4,2)
(10638,76,42,3,10)
(10639,87,43,3,3)
(10640,97,9,5,7)
(10641,59,43,5,9)
(10642,70,19,8,6)
(10643,14,22,6,6)
(10644,23,60,1,10)
(10645,92,93,5,2)
(10646,35,61,6,7)
(10647,70,33,5,5)
(10648,8,35,1,9)
(10649,44,8,5,3)
(10650,28,63,8,8)
(10651,52,86,1,10)
(10652,11,53,3,9)
(10653,12,58,6,1)
(10654,85,11,5,3)
(10655,44,82,3,9)
(10656,83,84,8,9)
(10657,92,81,4,8)
(10658,9,58,1,4)
(10659,9,62,7,9)
(10660,81,61,6,7)
(10661,85,61,4,3)
(10662,72,73,5,10)
(10663,20,77,5,9)
(10664,26,88,5,8)
(10665,34,3,4,10)
(10666,27,30,5,3)
(10667,92,4,6,3)
(10668,32,48,1,7)
(10669,8,3,3,8)
(10670,42,8,2,9)
(10671,52,63,3,2)
(10672,16,27,3,5)
(10673,30,32,4,3)
(10674,62,63,4,6)
(10675,67,51,4,1)
(10676,65,90,4,5)
(10677,93,66,2,8)
(10678,75,47,5,4)
(10679,76,94,6,7)
(10680,21,66,8,10)
(10681,64,0,4,3)
(10682,63,68,7,1)
(10683,85,70,6,8)
(10684,60,8,1,9)
(10685,41,6,8,9)
(10686,19,48,3,10)
(10687,41,10,7,6)
(10688,42,95,2,3)
(10689,95,53,5,4)
(10690,21,8,5,7)
(10691,79,81,4,7)
(10692,56,8,7,10)
(10693,81,74,3,4)
(10694,21,18,1,6)
(10695,95,46,1,3)
(10696,40,2,1,2)
(10697,56,5,8,9)
(10698,14,79,5,10)
(10699,25,35,3,2)
(10700,44,84,1,3)
(10701,58,20,3,4)
(10702,38,17,8,1)
(10703,63,31,1,2)
(10704,33,44,3,9)
(10705,50,96,2,8)
(10706,40,12,4,2)
(10707,13,50,3,3)
(10708,33,55,7,10)
(10709,42,38,2,6)
(10710,55,76,3,5)
(10711,6,81,3,7)
(10712,25,57,8,1)
(10713,52,25,1,9)
(10714,3,92,6,3)
(10715,7,35,8,9)
(10716,56,21,5,3)
(10717,59,100,8,3)
(10718,75,89,8,8)
(10719,36,50,7,10)
(10720,6,14,6,10)
(10721,5,4,7,4)
(10722,62,5,4,5)
(10723,40,65,5,7)
(10724,52,72,1,7)
(10725,71,70,3,8)
(10726,59,52,4,4)
(10727,68,13,4,8)
(10728,94,55,4,1)
(10729,25,48,6,8)
(10730,54,99,3,3)
(10731,63,62,1,3)
(10732,34,49,3,5)
(10733,18,46,3,3)
(10734,65,42,5,2)
(10735,55,24,8,8)
(10736,45,4,8,7)
(10737,19,21,5,7)
(10738,87,76,3,5)
(10739,4,88,3,8)
(10740,36,54,2,5)
(10741,67,24,4,5)
(10742,32,0,7,6)
(10743,92,69,5,2)
(10744,39,83,4,1)
(10745,70,27,4,2)
(10746,70,28,5,9)
(10747,15,35,8,5)
(10748,55,18,8,3)
(10749,8,0,3,3)
(10750,68,14,7,3)
(10751,49,63,8,3)
(10752,11,66,7,6)
(10753,94,41,5,9)
(10754,69,75,4,9)
(10755,9,46,6,5)
(10756,30,71,5,6)
(10757,37,2,6,7)
(10758,83,40,3,4)
(10759,2,57,8,1)
(10760,22,30,4,2)
(10761,71,29,1,6)
(10762,3,79,1,4)
(10763,91,56,7,7)
(10764,26,94,1,1)
(10765,62,72,5,3)
(10766,11,29,2,1)
(10767,86,94,5,9)
(10768,90,18,6,6)
(10769,48,33,5,10)
(10770,78,55,5,4)
(10771,10,38,8,1)
(10772,31,48,1,1)
(10773,19,32,3,1)
(10774,61,46,8,10)
(10775,5,1,2,10)
(10776,86,9,6,5)
(10777,42,21,1,3)
(10778,42,80,3,7)
(10779,17,10,1,10)
(10780,58,19,7,7)
(10781,17,77,8,9)
(10782,22,15,4,9)
(10783,83,45,7,9)
(10784,20,43,6,9)
(10785,30,51,2,6)
(10786,97,3,8,8)
(10787,80,45,2,10)
(10788,31,100,6,8)
(10789,76,52,5,3)
(10790,33,50,1,7)
(10791,61,45,8,7)
(10792,89,49,5,3)
(10793,100,59,6,6)
(10794,28,81,2,3)
(10795,93,68,4,9)
(10796,34,56,8,7)
(10797,74,97,3,3)
(10798,12,30,4,7)
(10799,75,35,8,1)
(10800,85,64,4,5)
(10801,22,37,2,10)
(10802,85,87,8,3)
(10803,21,100,5,7)
(10804,21,35,6,2)
(10805,31,2,8,8)
(10806,32,53,5,3)
(10807,54,70,5,8)
(10808,33,83,2,9)
(10809,87,67,4,3)
(10810,19,60,8,5)
(10811,25,45,6,10)
(10812,80,58,7,9)
(10813,60,39,3,10)
(10814,58,70,4,5)
(10815,39,0,6,7)
(10816,50,71,3,7)
(10817,37,29,8,6)
(10818,55,19,5,2)
(10819,64,23,2,10)
(10820,81,98,1,2)
(10821,2,40,7,7)
(10822,9,31,7,6)
(10823,98,53,3,10)
(10824,90,44,3,7)
(10825,73,55,6,3)
(10826,40,11,4,6)
(10827,0,64,6,6)
(10828,61,66,2,4)
(10829,6,88,5,10)
(10830,85,93,1,2)
(10831,11,82,5,6)
(10832,26,78,2,7)
(10833,100,42,2,6)
(10834,53,31,6,10)
(10835,96,89,1,1)
(10836,54,90,8,1)
(10837,43,6,6,5)
(10838,99,72,6,2)
(10839,19,70,6,8)
(10840,14,4,2,10)
(10841,47,69,2,9)
(10842,100,27,2,3)
(10843,15,53,1,7)
(10844,42,35,6,8)
(10845,41,37,1,9)
(10846,75,53,1,8)
(10847,22,94,1,10)
(10848,98,15,6,6)
(10849,50,34,2,2)
(10850,61,28,6,7)
(10851,82,60,6,6)
(10852,95,74,7,4)
(10853,78,18,3,7)
(10854,71,24,7,5)
(10855,17,85,7,9)
(10856,66,78,8,3)
(10857,11,34,8,1)
(10858,28,75,7,1)
(10859,1,59,8,5)
(10860,100,6,7,2)
(10861,24,72,3,5)
(10862,62,40,8,3)
(10863,24,49,8,7)
(10864,26,84,3,9)
(10865,84,70,6,9)
(10866,45,89,1,5)
(10867,14,53,7,8)
(10868,59,38,4,9)
(10869,9,15,8,8)
(10870,55,31,3,5)
(10871,81,8,3,1)
(10872,92,73,4,2)
(10873,9,51,1,10)
(10874,5,40,6,5)
(10875,59,39,5,8)
(10876,43,19,6,4)
(10877,1,77,4,3)
(10878,74,39,7,5)
(10879,14,35,6,10)
(10880,7,2,8,10)
(10881,19,66,3,8)
(10882,5,68,5,3)
(10883,74,40,4,7)
(10884,26,79,8,3)
(10885,21,24,8,1)
(10886,64,83,7,6)
(10887,17,41,2,4)
(10888,9,62,2,7)
(10889,27,77,6,3)
(10890,44,95,7,8)
(10891,34,41,3,3)
(10892,20,34,6,8)
(10893,59,36,7,1)
(10894,85,32,1,10)
(10895,47,94,5,8)
(10896,67,29,7,7)
(10897,81,1,7,3)
(10898,96,3,4,5)
(10899,36,35,2,1)
(10900,22,30,7,5)
(10901,33,50,1,7)
(10902,48,77,2,3)
(10903,70,9,5,10)
(10904,5,73,7,3)
(10905,74,100,2,10)
(10906,70,2,4,1)
(10907,37,95,6,5)
(10908,25,3,1,10)
(10909,19,24,5,3)
(10910,0,82,4,3)
(10911,92,98,3,4)
(10912,70,86,4,3)
(10913,52,41,8,2)
(10914,43,83,5,9)
(10915,44,35,5,6)
(10916,4,88,7,3)
(10917,11,32,1,9)
(10918,13,51,3,4)
(10919,49,88,8,3)
(10920,40,48,7,8)
(10921,55,5,4,8)
(10922,54,71,4,4)
(10923,72,83,3,2)
(10924,70,57,1,3)
(10925,89,56,5,6)
(10926,7,73,8,9)
(10927,27,39,4,5)
(10928,53,67,3,2)
(10929,38,2,4,8)
(10930,73,49,5,7)
(10931,99,89,3,3)
(10932,11,87,2,4)
(10933,42,73,4,6)
(10934,11,40,8,3)
(10935,45,78,7,7)
(10936,10,95,5,4)
(10937,63,76,8,8)
(10938,92,97,1,8)
(10939,51,0,6,7)
(10940,53,3,8,9)
(10941,76,30,3,4)
(10942,70,81,6,8)
(10943,58,96,2,6)
(10944,56,83,2,10)
(10945,59,24,7,7)
(10946,87,34,6,1)
(10947,0,27,4,9)
(10948,31,28,8,3)
(10949,58,57,2,4)
(10950,38,85,2,9)
(10951,80,87,7,9)
(10952,69,80,2,8)
(10953,3,41,6,8)
(10954,75,81,7,7)
(10955,8,60,5,6)
(10956,88,41,8,10)
(10957,98,71,5,5)
(10958,55,12,8,7)
(10959,99,60,8,10)
(10960,40,22,4,2)
(10961,63,70,8,7)
(10962,51,59,5,6)
(10963,18,73,3,3)
(10964,13,7,5,10)
(10965,78,87,1,8)
(10966,99,42,3,2)
(10967,68,67,8,2)
(10968,55,56,7,2)
(10969,93,15,2,4)
(10970,75,33,5,6)
(10971,72,64,6,2)
(10972,37,12,2,4)
(10973,99,5,4,4)
(10974,13,11,2,8)
(10975,44,88,1,9)
(10976,9,4,5,5)
(10977,20,2,6,6)
(10978,1,44,2,2)
(10979,74,83,1,1)
(10980,62,50,4,10)
(10981,22,38,4,10)
(10982,15,47,2,1)
(10983,34,71,6,6)
(10984,75,38,8,2)
(10985,40,22,4,5)
(10986,32,7,2,5)
(10987,56,36,8,2)
(10988,52,76,4,6)
(10989,80,100,1,2)
(10990,46,91,3,6)
(10991,27,10,2,6)
(10992,48,1,8,3)
(10993,90,51,2,5)
(10994,58,7,2,7)
(10995,9,78,2,2)
(10996,19,41,2,2)
(10997,40,43,5,10)
(10998,100,47,1,3)
(10999,23,22,2,2)
(11000,91,58,7,2)
(11001,18,68,1,6)
(11002,62,79,4,3)
(11003,76,27,1,3)
(11004,28,56,3,7)
(11005,82,74,7,1)
(11006,6,97,7,9)
(11007,24,54,5,5)
(11008,78,31,8,10)
(11009,99,20,2,6)
(11010,65,87,4,7)
(11011,14,23,8,2)
(11012,45,77,3,1)
(11013,51,82,6,8)
(11014,44,71,2,6)
(11015,25,69,1,10)
(11016,100,3,3,1)
(11017,91,85,5,2)
(11018,38,90,1,5)
(11019,79,83,5,8)
(11020,60,38,2,5)
(11021,86,2,4,1)
(11022,74,16,1,9)
(11023,51,45,4,9)
(11024,48,31,8,3)
(11025,16,37,8,5)
(11026,93,20,7,6)
(11027,2,64,5,9)
(11028,69,9,6,8)
(11029,11,71,6,2)
(11030,54,80,7,8)
(11031,24,83,3,7)
(11032,80,68,7,2)
(11033,71,35,4,10)
(11034,55,19,2,6)
(11035,84,95,4,10)
(11036,3,58,6,5)
(11037,95,55,4,2)
(11038,1,47,7,3)
(11039,96,6,6,1)
(11040,40,37,8,6)
(11041,19,6,6,10)
(11042,7,54,7,5)
(11043,73,5,3,2)
(11044,78,51,6,10)
(11045,49,72,5,7)
(11046,57,58,3,1)
(11047,54,33,6,3)
(11048,37,12,5,8)
(11049,18,31,7,8)
(11050,51,14,8,1)
(11051,19,29,2,9)
(11052,47,10,4,2)
(11053,82,94,7,2)
(11054,17,16,3,9)
(11055,15,3,5,10)
(11056,15,65,8,1)
(11057,62,0,3,5)
(11058,14,50,2,1)
(11059,46,55,3,8)
(11060,65,91,7,4)
(11061,50,79,5,5)
(11062,61,19,1,9)
(11063,89,35,8,10)
(11064,67,68,5,9)
(11065,68,60,4,10)
(11066,77,43,2,10)
(11067,98,44,5,4)
(11068,0,67,8,9)
(11069,11,92,5,8)
(11070,77,21,1,4)
(11071,23,8,2,2)
(11072,42,2,8,6)
(11073,63,24,2,9)
