#(id,from,to,speed,planTime)
(10188,37,56,7,1)
(10189,12,43,5,3)
(10190,80,22,1,1)
(10191,73,28,1,5)
(10192,84,73,7,9)
(10193,64,48,7,1)
(10194,74,15,3,10)
(10195,48,25,4,3)
(10196,33,5,4,5)
(10197,99,87,7,1)
(10198,60,63,4,3)
(10199,42,49,5,4)
(10200,73,23,8,5)
(10201,22,58,4,6)
(10202,72,77,3,10)
(10203,2,4,6,4)
(10204,8,60,7,9)
(10205,98,21,5,5)
(10206,35,99,1,2)
(10207,99,16,4,3)
(10208,90,60,3,7)
(10209,17,25,4,10)
(10210,1,79,6,10)
(10211,82,15,6,9)
(10212,27,68,8,8)
(10213,88,32,3,3)
(10214,82,76,4,1)
(10215,91,55,4,1)
(10216,14,58,6,5)
(10217,82,4,2,1)
(10218,83,82,8,8)
(10219,97,26,3,5)
(10220,93,52,1,8)
(10221,35,82,8,7)
(10222,58,9,8,6)
(10223,63,98,1,4)
(10224,55,78,4,10)
(10225,33,83,3,2)
(10226,64,61,4,3)
(10227,86,87,3,6)
(10228,91,84,5,5)
(10229,17,21,6,3)
(10230,29,40,3,6)
(10231,37,61,4,9)
(10232,38,29,6,3)
(10233,11,56,2,9)
(10234,16,71,6,8)
(10235,9,23,7,4)
(10236,58,98,7,8)
(10237,70,72,6,2)
(10238,11,29,7,10)
(10239,89,11,2,4)
(10240,91,77,1,10)
(10241,32,88,4,8)
(10242,58,67,2,3)
(10243,42,36,3,9)
(10244,85,96,6,7)
(10245,67,29,1,5)
(10246,9,94,6,9)
(10247,56,73,6,5)
(10248,1,26,4,8)
(10249,13,28,6,3)
(10250,94,35,7,10)
(10251,22,60,6,6)
(10252,55,62,5,3)
(10253,42,17,3,3)
(10254,63,83,2,10)
(10255,55,74,3,6)
(10256,52,65,8,1)
(10257,92,73,2,8)
(10258,60,29,1,2)
(10259,88,57,6,1)
(10260,71,53,8,6)
(10261,70,18,4,2)
(10262,52,13,3,1)
(10263,39,68,2,5)
(10264,33,55,4,5)
(10265,80,42,3,3)
(10266,70,37,5,1)
(10267,45,61,7,10)
(10268,66,15,7,7)
(10269,84,40,8,10)
(10270,53,22,7,4)
(10271,90,10,2,2)
(10272,65,36,8,9)
(10273,78,14,7,4)
(10274,50,56,2,6)
(10275,69,57,6,1)
(10276,24,87,7,2)
(10277,78,41,6,6)
(10278,62,91,3,4)
(10279,1,55,5,6)
(10280,43,25,8,10)
(10281,90,45,7,10)
(10282,52,77,4,4)
(10283,34,44,5,5)
(10284,82,76,4,7)
(10285,68,13,2,3)
(10286,3,69,3,2)
(10287,75,8,1,9)
(10288,84,78,1,8)
(10289,74,58,6,3)
(10290,34,98,3,7)
(10291,42,54,3,7)
(10292,81,94,5,6)
(10293,6,31,8,10)
(10294,99,61,1,3)
(10295,20,81,7,2)
(10296,11,81,8,7)
(10297,90,41,4,9)
(10298,39,58,8,4)
(10299,11,21,3,6)
(10300,14,92,7,9)
(10301,22,68,8,10)
(10302,81,44,4,6)
(10303,25,89,3,5)
(10304,70,33,7,10)
(10305,74,31,8,4)
(10306,88,80,2,5)
(10307,100,52,1,10)
(10308,43,31,4,7)
(10309,50,16,2,7)
(10310,12,35,4,4)
(10311,23,88,4,4)
(10312,20,43,5,5)
(10313,25,40,8,10)
(10314,19,54,6,3)
(10315,6,5,8,4)
(10316,35,20,4,6)
(10317,88,54,3,10)
(10318,88,3,3,8)
(10319,90,11,1,6)
(10320,5,12,6,8)
(10321,4,17,6,3)
(10322,23,6,4,4)
(10323,62,29,8,9)
(10324,1,46,4,3)
(10325,100,52,3,10)
(10326,54,27,3,9)
(10327,37,7,5,8)
(10328,18,65,5,2)
(10329,81,67,3,5)
(10330,24,38,5,4)
(10331,18,13,2,2)
(10332,10,66,1,7)
(10333,70,46,7,6)
(10334,72,96,8,10)
(10335,2,77,4,3)
(10336,41,26,5,4)
(10337,92,90,7,8)
(10338,79,13,5,1)
(10339,25,34,3,4)
(10340,100,71,1,5)
(10341,16,42,8,3)
(10342,38,64,7,9)
(10343,40,3,8,4)
(10344,29,58,4,5)
(10345,47,84,2,9)
(10346,96,41,5,2)
(10347,27,35,6,9)
(10348,57,53,1,6)
(10349,47,40,4,2)
(10350,4,62,7,6)
(10351,17,40,1,5)
(10352,97,31,7,8)
(10353,14,58,5,10)
(10354,51,93,5,3)
(10355,80,91,4,4)
(10356,96,99,6,8)
(10357,38,71,5,7)
(10358,85,2,1,4)
(10359,93,10,1,7)
(10360,40,64,1,6)
(10361,74,7,4,5)
(10362,52,50,3,2)
(10363,40,5,3,6)
(10364,3,26,8,10)
(10365,48,8,4,5)
(10366,62,20,6,2)
(10367,29,28,4,5)
(10368,44,82,1,4)
(10369,88,40,7,4)
(10370,89,95,1,1)
(10371,99,87,1,9)
(10372,64,99,3,6)
(10373,6,80,3,3)
(10374,99,26,3,3)
(10375,54,67,5,8)
(10376,48,73,7,7)
(10377,13,60,5,8)
(10378,54,98,4,3)
(10379,36,52,3,8)
(10380,50,55,3,2)
(10381,35,4,1,6)
(10382,29,98,2,4)
(10383,16,61,7,2)
(10384,86,98,2,1)
(10385,9,30,2,10)
(10386,80,35,3,7)
(10387,86,76,3,6)
(10388,31,27,1,3)
(10389,30,70,2,3)
(10390,67,16,2,6)
(10391,29,77,6,8)
(10392,27,1,3,3)
(10393,30,64,5,1)
(10394,98,17,7,6)
(10395,45,41,3,1)
(10396,19,66,4,5)
(10397,35,47,6,9)
(10398,63,4,3,7)
(10399,33,35,3,8)
(10400,35,70,8,7)
(10401,85,97,7,5)
(10402,66,52,2,7)
(10403,44,38,6,8)
(10404,3,82,1,1)
(10405,80,21,6,2)
(10406,25,29,5,6)
(10407,63,43,5,1)
(10408,64,67,5,2)
(10409,16,88,5,5)
(10410,91,51,2,4)
(10411,40,81,6,5)
(10412,14,55,5,3)
(10413,76,24,8,9)
(10414,52,74,2,2)
(10415,69,82,4,4)
(10416,100,78,7,6)
(10417,65,70,4,7)
(10418,73,92,4,1)
(10419,24,88,5,8)
(10420,94,40,5,2)
(10421,15,72,3,2)
(10422,97,35,5,4)
(10423,68,98,4,1)
(10424,75,36,3,4)
(10425,58,33,2,10)
(10426,24,91,4,3)
(10427,30,50,7,6)
(10428,41,69,8,4)
(10429,40,67,1,6)
(10430,54,61,5,3)
(10431,58,5,8,8)
(10432,41,22,6,7)
(10433,6,28,1,9)
(10434,70,71,7,8)
(10435,21,64,5,2)
(10436,84,17,8,8)
(10437,83,93,4,2)
(10438,54,64,7,9)
(10439,69,96,5,9)
(10440,69,77,6,10)
(10441,4,88,2,5)
(10442,58,82,2,4)
(10443,97,45,1,3)
(10444,13,10,4,6)
(10445,55,67,8,5)
(10446,82,43,2,4)
(10447,39,72,7,4)
(10448,100,23,4,5)
(10449,62,91,8,1)
(10450,24,4,1,1)
(10451,1,43,5,3)
(10452,5,8,7,10)
(10453,26,95,7,8)
(10454,37,91,3,1)
(10455,15,74,2,8)
(10456,49,22,2,1)
(10457,64,1,3,3)
(10458,5,34,5,9)
(10459,28,11,8,9)
(10460,70,29,7,2)
(10461,75,59,3,6)
(10462,2,66,4,10)
(10463,91,27,7,3)
(10464,100,6,3,1)
(10465,58,33,6,9)
(10466,18,8,2,10)
(10467,70,39,4,9)
(10468,19,71,1,6)
(10469,81,43,6,5)
(10470,8,44,7,1)
(10471,22,86,1,9)
(10472,91,41,8,5)
(10473,26,84,7,2)
(10474,43,31,8,2)
(10475,21,55,7,9)
(10476,93,31,3,3)
(10477,86,9,5,5)
(10478,9,45,2,3)
(10479,85,23,6,8)
(10480,58,36,5,3)
(10481,49,97,3,7)
(10482,41,50,1,2)
(10483,57,90,1,5)
(10484,73,29,6,3)
(10485,89,77,6,8)
(10486,21,40,6,5)
(10487,15,83,4,3)
(10488,70,37,2,6)
(10489,85,54,5,10)
(10490,55,51,7,7)
(10491,93,43,5,9)
(10492,24,42,8,2)
(10493,70,11,7,1)
(10494,3,56,5,8)
(10495,90,82,7,10)
(10496,18,7,6,6)
(10497,12,75,2,9)
(10498,78,67,6,7)
(10499,62,35,1,4)
(10500,28,7,2,10)
(10501,17,61,3,10)
(10502,68,87,1,7)
(10503,68,78,1,7)
(10504,36,94,3,8)
(10505,20,68,1,3)
(10506,35,41,8,8)
(10507,75,51,3,2)
(10508,9,31,6,2)
(10509,43,91,2,8)
(10510,77,35,4,10)
(10511,64,36,8,2)
(10512,81,21,5,8)
(10513,89,62,7,7)
(10514,2,15,5,10)
(10515,17,53,2,3)
(10516,83,34,6,3)
(10517,24,50,8,1)
(10518,36,61,8,7)
(10519,48,30,5,3)
(10520,50,100,6,9)
(10521,14,77,7,4)
(10522,91,85,8,5)
(10523,37,77,8,5)
(10524,10,39,5,1)
(10525,40,91,8,6)
(10526,51,82,3,7)
(10527,63,29,1,9)
(10528,80,59,1,4)
(10529,35,70,2,2)
(10530,6,58,7,7)
(10531,35,73,4,6)
(10532,11,66,2,3)
(10533,8,68,7,7)
(10534,2,3,4,1)
(10535,83,39,7,8)
(10536,97,34,7,9)
(10537,55,70,4,8)
(10538,28,96,2,2)
(10539,68,19,6,1)
(10540,36,93,4,2)
(10541,13,8,2,4)
(10542,63,14,1,9)
(10543,52,57,4,1)
(10544,42,70,4,2)
(10545,91,90,2,5)
(10546,37,9,1,3)
(10547,27,96,7,4)
(10548,88,65,4,8)
(10549,25,11,3,5)
(10550,24,94,3,5)
(10551,2,46,3,6)
(10552,67,7,1,10)
(10553,48,96,1,7)
(10554,4,61,3,1)
(10555,56,74,8,9)
(10556,91,6,7,7)
(10557,68,64,7,5)
(10558,9,91,2,9)
(10559,36,94,2,6)
(10560,52,45,4,1)
(10561,92,89,8,6)
(10562,49,76,5,2)
(10563,1,30,3,2)
(10564,35,50,6,1)
(10565,65,44,4,3)
(10566,12,34,1,3)
(10567,41,97,1,10)
(10568,59,11,7,9)
(10569,98,76,5,5)
(10570,57,51,6,6)
(10571,54,20,4,2)
(10572,81,25,1,10)
(10573,68,45,3,4)
(10574,30,47,3,7)
(10575,95,46,5,9)
(10576,9,87,6,9)
(10577,14,45,6,1)
(10578,48,8,1,9)
(10579,79,30,7,8)
(10580,54,80,5,8)
(10581,76,11,1,3)
(10582,9,41,7,7)
(10583,87,86,3,7)
(10584,24,5,6,2)
(10585,2,34,1,1)
(10586,93,70,8,1)
(10587,51,9,5,2)
(10588,88,89,7,9)
(10589,52,84,4,9)
(10590,24,46,6,5)
(10591,83,73,2,8)
(10592,30,12,7,5)
(10593,45,58,2,9)
(10594,27,79,5,1)
(10595,87,42,2,5)
(10596,83,66,2,10)
(10597,49,59,8,5)
(10598,56,11,6,6)
(10599,84,45,5,7)
(10600,56,94,5,3)
(10601,51,21,5,10)
(10602,51,50,2,7)
(10603,43,42,5,5)
(10604,59,55,3,10)
(10605,65,55,8,2)
(10606,17,19,4,1)
(10607,64,7,7,4)
(10608,100,6,6,1)
(10609,78,12,1,10)
(10610,13,87,8,8)
(10611,80,84,6,10)
(10612,38,90,6,8)
(10613,96,81,4,5)
(10614,100,85,3,2)
(10615,44,27,3,5)
(10616,33,8,2,7)
(10617,19,26,8,2)
(10618,64,11,7,7)
(10619,95,18,4,6)
(10620,59,83,6,8)
(10621,16,14,3,8)
(10622,99,81,2,1)
(10623,7,65,7,6)
(10624,24,32,3,3)
(10625,10,46,1,6)
(10626,57,64,3,2)
(10627,81,7,4,6)
(10628,90,75,1,5)
(10629,89,62,3,1)
(10630,42,3,1,10)
(10631,19,67,3,9)
(10632,51,43,8,5)
(10633,89,62,5,6)
(10634,25,7,5,9)
(10635,14,36,7,8)
(10636,63,45,7,1)
(10637,58,33,4,1)
(10638,87,72,1,10)
(10639,90,47,1,10)
(10640,83,51,4,3)
(10641,87,69,1,10)
(10642,19,77,6,8)
(10643,76,64,4,6)
(10644,26,70,6,8)
(10645,10,81,1,6)
(10646,32,1,5,3)
(10647,47,14,6,7)
(10648,65,29,3,5)
(10649,49,45,3,5)
(10650,73,5,8,3)
(10651,68,40,2,10)
(10652,10,49,3,5)
(10653,29,51,4,6)
(10654,51,30,5,2)
(10655,43,89,3,8)
(10656,69,55,2,9)
(10657,99,4,7,8)
(10658,8,12,7,10)
(10659,4,41,1,2)
(10660,89,27,1,7)
(10661,77,42,7,8)
(10662,23,60,6,7)
(10663,100,5,8,4)
(10664,59,33,1,9)
(10665,88,77,7,1)
(10666,40,52,3,3)
(10667,93,45,5,7)
(10668,23,94,3,10)
(10669,87,29,6,7)
(10670,88,3,3,7)
(10671,59,50,5,9)
(10672,82,47,1,9)
(10673,75,59,7,5)
(10674,63,40,3,7)
(10675,36,16,2,5)
(10676,61,36,3,8)
(10677,65,84,8,6)
(10678,38,34,5,3)
(10679,84,1,1,9)
(10680,47,50,6,8)
(10681,60,4,6,8)
(10682,43,44,2,6)
(10683,11,63,7,7)
(10684,98,94,6,8)
(10685,29,25,7,8)
(10686,59,60,6,7)
(10687,60,87,2,10)
(10688,36,47,8,1)
(10689,3,18,1,7)
(10690,14,93,4,5)
(10691,7,61,4,5)
(10692,7,64,3,8)
(10693,40,35,6,3)
(10694,94,19,1,3)
(10695,6,5,5,4)
(10696,3,45,5,8)
(10697,62,57,7,2)
(10698,49,28,7,1)
(10699,40,97,6,10)
(10700,12,27,3,1)
(10701,13,33,6,3)
(10702,4,47,1,2)
(10703,51,28,2,3)
(10704,72,41,1,8)
(10705,49,11,5,2)
(10706,38,14,6,5)
(10707,62,64,5,5)
(10708,43,55,7,7)
(10709,40,79,7,5)
(10710,26,78,4,3)
(10711,5,55,8,1)
(10712,47,91,3,1)
(10713,1,24,7,3)
(10714,89,97,6,10)
(10715,13,94,3,6)
(10716,49,52,4,1)
(10717,83,25,8,10)
(10718,3,84,7,7)
(10719,38,68,5,5)
(10720,10,47,6,1)
(10721,70,26,6,2)
(10722,74,71,2,9)
(10723,65,84,5,10)
(10724,87,53,1,4)
(10725,77,33,7,8)
(10726,68,67,1,8)
(10727,34,72,3,3)
(10728,18,76,7,6)
(10729,1,8,6,8)
(10730,78,58,6,10)
(10731,93,51,3,8)
(10732,3,61,8,8)
(10733,45,27,8,2)
(10734,93,99,6,9)
(10735,22,61,7,2)
(10736,88,80,8,1)
(10737,87,80,4,4)
(10738,37,25,5,10)
(10739,75,67,6,10)
(10740,28,59,4,1)
(10741,85,74,2,6)
(10742,25,4,2,9)
(10743,16,83,8,9)
(10744,62,69,8,3)
(10745,1,56,1,3)
(10746,32,72,7,8)
(10747,39,77,2,8)
(10748,35,100,3,1)
(10749,73,28,5,2)
(10750,83,11,3,5)
(10751,93,83,6,4)
(10752,3,48,7,3)
(10753,56,15,3,2)
(10754,39,61,1,5)
(10755,89,84,7,6)
(10756,35,38,4,5)
(10757,66,97,8,6)
(10758,7,50,7,8)
(10759,84,3,7,4)
(10760,51,56,6,3)
(10761,22,36,8,2)
(10762,96,89,8,10)
(10763,24,37,7,8)
(10764,27,3,4,6)
(10765,51,21,1,1)
(10766,23,89,2,9)
(10767,91,62,1,6)
(10768,69,41,6,8)
(10769,76,42,8,4)
(10770,30,45,1,9)
(10771,34,17,4,1)
(10772,71,28,5,1)
(10773,1,41,7,1)
(10774,81,39,4,2)
(10775,100,80,4,4)
(10776,20,62,3,3)
(10777,55,18,4,10)
(10778,63,29,8,8)
(10779,97,51,7,5)
(10780,30,57,2,9)
(10781,97,19,6,6)
(10782,9,88,4,1)
(10783,19,16,2,9)
(10784,29,91,3,6)
(10785,9,6,7,8)
(10786,86,58,2,10)
(10787,8,24,5,10)
(10788,80,90,8,9)
(10789,8,74,8,7)
(10790,13,9,3,5)
(10791,77,5,5,10)
(10792,47,56,3,10)
(10793,13,9,2,9)
(10794,66,98,1,1)
(10795,73,30,4,2)
(10796,19,32,2,4)
(10797,57,92,6,5)
(10798,53,71,5,2)
(10799,27,24,1,5)
(10800,31,76,7,10)
(10801,85,60,2,2)
(10802,10,74,6,5)
(10803,3,36,5,8)
(10804,67,21,3,2)
(10805,12,46,8,4)
(10806,68,48,2,4)
(10807,23,81,5,8)
(10808,8,97,8,9)
(10809,9,90,2,4)
(10810,63,68,5,1)
(10811,55,88,5,1)
(10812,60,42,8,7)
(10813,39,43,2,9)
(10814,90,83,8,1)
(10815,15,68,2,8)
(10816,17,66,1,6)
(10817,7,59,1,2)
(10818,26,92,8,9)
(10819,32,29,3,2)
(10820,70,98,4,4)
(10821,92,53,5,7)
(10822,87,67,1,6)
(10823,86,15,2,4)
(10824,80,39,2,8)
(10825,97,19,2,8)
(10826,63,46,2,5)
(10827,26,8,3,6)
(10828,6,50,5,6)
(10829,54,74,8,2)
(10830,40,77,2,2)
(10831,92,65,7,1)
(10832,56,9,8,1)
(10833,27,70,1,8)
(10834,16,82,1,4)
(10835,90,70,3,10)
(10836,71,97,8,5)
(10837,71,76,2,5)
(10838,5,6,8,9)
(10839,22,70,1,10)
(10840,78,30,8,1)
(10841,100,58,7,7)
(10842,39,82,8,9)
(10843,3,50,1,6)
(10844,47,73,5,8)
(10845,48,62,4,8)
(10846,19,17,1,9)
(10847,38,69,7,7)
(10848,50,97,5,2)
(10849,6,70,5,7)
(10850,52,78,6,6)
(10851,27,54,5,1)
(10852,26,30,5,9)
(10853,44,19,6,7)
(10854,87,27,4,2)
(10855,95,71,1,10)
(10856,19,63,1,7)
(10857,33,64,4,1)
(10858,41,48,3,3)
(10859,1,23,2,4)
(10860,5,84,8,1)
(10861,2,79,4,9)
(10862,5,63,4,3)
(10863,33,52,7,8)
(10864,67,44,3,7)
(10865,59,99,7,8)
(10866,99,30,7,10)
(10867,5,13,1,7)
(10868,48,79,6,6)
(10869,9,64,5,7)
(10870,78,52,6,6)
(10871,55,15,5,3)
(10872,11,91,1,1)
(10873,42,8,8,2)
(10874,90,41,6,10)
(10875,5,18,8,4)
(10876,48,9,8,3)
(10877,24,42,6,3)
(10878,93,40,3,3)
(10879,55,27,1,10)
(10880,70,90,7,5)
(10881,50,56,3,2)
(10882,48,43,8,4)
(10883,13,89,4,8)
(10884,97,12,8,10)
(10885,53,92,5,5)
(10886,31,88,1,4)
(10887,66,63,7,3)
(10888,4,90,5,7)
(10889,97,98,1,5)
(10890,93,30,5,10)
(10891,18,59,2,8)
(10892,23,87,3,8)
(10893,78,62,5,2)
(10894,1,67,3,7)
(10895,81,50,8,1)
(10896,39,98,7,1)
(10897,47,87,3,1)
(10898,17,83,2,7)
(10899,93,15,7,2)
(10900,53,41,3,2)
(10901,54,65,7,1)
(10902,31,87,3,3)
(10903,88,73,6,8)
(10904,22,90,5,1)
(10905,77,43,1,1)
(10906,25,10,6,10)
(10907,76,81,4,4)
(10908,21,25,3,10)
(10909,89,100,3,1)
(10910,39,53,6,3)
(10911,77,83,7,2)
(10912,72,64,4,1)
(10913,58,33,3,2)
(10914,42,22,1,4)
(10915,54,39,3,7)
(10916,64,6,4,3)
(10917,58,33,4,7)
(10918,37,59,5,1)
(10919,93,24,5,3)
(10920,39,33,5,4)
(10921,66,8,3,3)
(10922,29,38,2,8)
(10923,76,24,7,10)
(10924,29,12,6,7)
(10925,96,73,8,3)
(10926,83,6,4,7)
(10927,29,59,8,10)
(10928,44,55,1,8)
(10929,62,2,2,1)
(10930,39,98,6,6)
(10931,21,87,6,7)
(10932,99,3,2,9)
(10933,75,24,1,10)
(10934,29,26,1,2)
(10935,36,23,7,10)
(10936,78,47,3,1)
(10937,48,14,2,3)
(10938,11,8,4,2)
(10939,94,8,4,7)
(10940,10,27,8,10)
(10941,50,19,2,2)
(10942,96,24,7,9)
(10943,98,18,7,4)
(10944,17,56,8,6)
(10945,69,50,4,4)
(10946,57,15,4,2)
(10947,51,98,1,7)
(10948,39,12,1,7)
(10949,3,56,6,4)
(10950,94,86,4,6)
(10951,99,2,3,8)
(10952,19,43,8,5)
(10953,48,54,8,4)
(10954,68,78,6,9)
(10955,27,95,5,7)
(10956,6,25,5,3)
(10957,80,28,6,8)
(10958,65,37,7,6)
(10959,16,22,6,5)
(10960,96,53,2,8)
(10961,28,61,1,1)
(10962,32,91,6,3)
(10963,89,47,1,4)
(10964,71,44,2,2)
(10965,33,17,2,7)
(10966,5,82,8,4)
(10967,55,100,2,2)
(10968,52,91,4,3)
(10969,3,76,6,8)
(10970,66,71,6,2)
(10971,69,47,8,8)
(10972,90,61,2,3)
(10973,30,59,2,1)
(10974,92,86,6,8)
(10975,38,91,1,10)
(10976,81,54,7,2)
(10977,29,60,6,1)
(10978,82,84,2,1)
(10979,30,20,7,3)
(10980,81,38,2,4)
(10981,48,67,8,5)
(10982,4,89,2,1)
(10983,88,82,6,6)
(10984,53,13,8,2)
(10985,33,68,4,5)
(10986,70,47,2,5)
(10987,91,15,8,2)
(10988,10,31,4,6)
(10989,77,67,1,2)
(10990,55,72,3,6)
(10991,5,4,2,6)
(10992,16,57,8,3)
(10993,76,18,2,5)
(10994,64,59,2,7)
(10995,25,8,2,2)
(10996,90,9,2,2)
(10997,75,93,5,10)
(10998,16,76,1,3)
(10999,31,58,2,2)
(11000,67,54,6,3)
(11001,71,59,2,9)
(11002,17,25,1,10)
(11003,84,73,1,8)
(11004,33,39,7,3)
(11005,83,92,3,7)
(11006,19,10,5,3)
(11007,19,56,5,6)
(11008,9,90,4,9)
(11009,48,17,8,5)
(11010,94,56,5,8)
(11011,80,86,4,2)
(11012,76,96,3,10)
(11013,87,57,2,3)
(11014,18,87,4,8)
(11015,42,4,6,3)
(11016,93,51,1,1)
(11017,19,98,4,6)
(11018,5,16,1,1)
(11019,1,94,8,8)
(11020,89,18,7,8)
(11021,74,2,7,4)
(11022,88,42,5,8)
(11023,97,2,1,1)
(11024,4,11,7,1)
(11025,60,37,5,6)
(11026,4,78,8,1)
(11027,71,48,3,3)
(11028,65,73,6,6)
(11029,74,69,2,10)
(11030,62,10,6,10)
(11031,11,20,3,7)
(11032,83,79,2,9)
(11033,67,26,6,8)
(11034,4,58,2,5)
(11035,6,8,6,5)
(11036,32,70,1,10)
(11037,90,91,4,6)
(11038,52,8,3,9)
(11039,79,7,1,9)
(11040,86,69,4,5)
(11041,46,12,1,2)
(11042,70,46,3,7)
(11043,5,63,4,6)
(11044,32,7,1,1)
(11045,50,58,5,4)
(11046,17,33,4,5)
(11047,91,43,8,8)
(11048,63,14,5,10)
(11049,78,1,7,1)
(11050,98,39,3,5)
(11051,1,72,8,10)
(11052,79,82,4,5)
(11053,92,28,4,10)
(11054,12,95,3,5)
(11055,89,15,8,10)
(11056,80,9,5,4)
(11057,61,76,3,5)
(11058,15,79,3,5)
(11059,51,54,5,9)
(11060,88,55,3,10)
(11061,34,39,6,8)
(11062,85,45,6,10)
(11063,59,29,6,9)
(11064,90,92,6,7)
(11065,19,1,5,10)
(11066,80,24,2,10)
(11067,30,98,1,10)
(11068,4,21,1,7)
(11069,59,84,8,4)
(11070,28,33,2,1)
(11071,14,49,3,8)
(11072,92,74,6,4)
(11073,26,64,5,3)
